vehicle_age,odometer_km,days_since_service,battery_voltage,engine_temp,brake_wear_pct,tire_pressure_avg,oil_life_pct,maintenance_required
4.8,64366,83,12.13,90.4,57.7,27.8,52.8,0
11.4,141303,45,13.0,93.7,26.7,31.8,76.3,0
8.9,132236,27,11.78,85.4,98.0,36.4,75.9,1
7.4,87720,238,12.72,99.3,91.2,27.6,2.0,1
2.3,37779,56,12.22,97.8,77.1,29.1,55.1,0
2.3,31184,107,12.22,94.8,73.3,32.9,35.3,0
1.2,26066,57,12.71,90.2,69.1,29.3,78.2,0
10.5,156343,343,12.5,94.8,44.8,30.0,6.0,1
7.4,96375,77,12.61,86.4,26.9,31.1,57.6,0
8.6,131742,93,12.79,96.6,98.0,28.1,43.3,1
0.7,14981,249,12.2,101.7,22.3,29.4,2.0,1
11.7,163461,236,12.07,98.0,53.2,34.8,2.0,1
10.1,159798,37,11.86,86.3,53.4,28.3,87.9,0
2.9,51887,220,11.98,93.3,19.0,27.4,9.3,1
2.6,42593,95,13.2,82.6,88.4,30.5,47.5,0
2.6,36837,98,12.91,94.7,98.0,34.8,39.5,0
4.0,60487,46,11.74,93.9,39.5,31.9,79.7,0
6.5,58481,41,11.75,78.8,30.4,31.0,71.3,0
5.5,64021,156,12.57,83.4,25.0,32.6,16.8,0
3.8,70088,109,12.6,89.2,40.0,26.9,58.8,0
7.5,146259,82,12.6,89.0,28.4,34.1,67.3,0
2.1,33779,179,12.24,83.1,49.5,33.7,12.1,0
3.9,63487,198,12.29,93.5,53.2,31.2,2.0,1
4.7,72240,57,12.5,92.6,58.6,35.7,73.6,0
5.7,128004,133,12.39,89.7,98.0,28.9,44.1,1
9.5,166244,44,11.35,86.1,97.1,36.1,74.2,1
2.8,42949,168,12.25,97.8,93.3,33.0,29.5,1
6.4,83101,155,11.97,101.8,83.4,31.4,35.4,1
7.3,78457,365,12.43,87.9,86.3,32.4,16.6,1
1.0,18994,35,13.2,87.0,62.6,32.2,85.6,0
7.5,97595,26,12.52,94.2,5.0,36.4,92.9,0
2.5,33358,51,12.21,88.7,52.7,29.1,88.6,0
1.2,18792,65,12.76,90.1,34.3,30.1,72.0,0
11.4,132254,43,12.57,95.8,98.0,35.8,73.5,0
11.6,213707,297,12.54,78.6,80.9,30.6,2.0,1
9.8,166636,53,12.62,99.6,83.1,35.4,75.9,1
4.0,63273,45,13.2,91.5,26.2,37.9,64.6,0
1.6,34528,185,11.84,88.3,48.9,31.2,6.1,1
8.4,127534,77,12.56,90.4,93.7,34.7,72.5,1
5.6,74334,185,11.93,90.8,55.2,28.8,2.0,1
1.9,40579,42,12.6,79.7,66.0,34.9,94.3,0
6.2,104015,86,11.94,100.7,32.9,33.1,68.2,0
0.9,13861,43,12.16,91.3,40.3,34.0,73.9,0
11.0,151082,17,12.22,93.9,34.3,30.4,96.9,0
3.5,45213,279,12.79,97.2,5.0,27.2,2.0,1
8.1,88055,52,12.76,84.4,93.8,34.1,86.3,0
4.1,72893,105,11.79,94.1,57.5,25.9,57.3,0
6.5,131160,72,12.37,89.3,75.3,31.5,50.0,0
6.8,73604,70,12.03,96.5,55.0,35.5,70.9,0
2.6,43434,273,11.78,77.2,98.0,33.1,2.0,1
11.7,149770,42,12.25,90.4,36.7,38.7,79.8,0
9.4,129803,141,12.21,87.1,90.5,35.8,22.2,1
11.3,146047,401,13.2,93.8,12.6,30.4,17.5,1
10.8,133818,132,12.54,94.1,95.2,32.6,44.4,0
7.4,106489,329,11.73,86.4,10.5,32.3,2.0,1
11.1,135546,48,12.1,86.4,5.0,27.4,62.7,0
1.5,32166,83,12.81,90.3,88.6,29.5,54.6,0
2.8,47928,77,13.2,85.2,5.0,30.7,65.8,0
1.0,15712,157,11.64,96.5,27.9,26.0,23.9,1
4.2,59370,450,11.5,88.6,35.9,32.7,12.5,1
5.0,69524,60,13.19,75.0,69.5,31.7,77.9,0
3.6,66468,140,12.53,88.6,42.3,27.1,39.7,0
10.0,158626,56,11.96,84.2,44.2,33.8,75.3,0
4.6,59314,126,12.59,80.4,8.2,34.8,23.1,0
3.7,59068,79,11.16,83.0,32.5,33.2,58.5,0
6.7,114372,409,12.35,91.7,78.7,31.5,10.6,1
2.1,23956,138,12.5,99.6,56.6,34.4,30.5,0
9.7,151604,81,12.77,93.0,36.6,34.7,64.5,0
1.4,21218,57,11.89,87.1,51.0,33.5,68.3,0
11.8,190429,55,12.39,94.0,23.0,29.9,62.2,0
9.4,117046,71,11.93,88.0,50.3,33.4,63.3,0
2.8,33813,66,12.46,86.5,85.0,36.3,70.1,0
0.6,15356,230,11.95,83.5,36.8,30.6,2.0,1
9.9,142228,104,12.17,79.6,16.3,39.2,45.6,0
8.6,133788,119,11.9,88.5,85.6,30.8,31.1,1
8.9,109836,46,12.64,92.0,59.7,32.6,88.2,0
9.4,155078,228,12.74,90.4,52.6,30.3,2.0,1
1.4,16724,164,12.24,88.3,30.5,33.2,32.5,0
4.6,71490,51,12.37,84.9,70.9,26.9,89.8,0
1.8,28812,163,11.7,95.0,58.1,30.8,17.7,0
10.4,138527,111,12.22,82.4,5.0,29.0,34.4,0
7.7,115726,35,12.33,96.0,48.1,32.9,61.6,0
4.3,56991,85,13.2,84.5,5.4,35.7,42.8,0
1.2,22992,96,11.85,86.1,56.8,34.6,38.3,0
4.1,76274,43,13.01,81.5,47.5,24.9,92.3,0
4.2,59805,332,12.8,87.7,18.2,39.0,2.0,1
8.9,145284,246,12.48,97.3,5.0,33.4,3.9,1
7.8,96975,146,13.14,94.4,14.5,30.0,4.8,0
10.7,171534,107,12.52,97.4,79.4,33.0,34.5,1
5.9,111812,98,12.53,94.4,44.6,33.1,59.9,0
1.9,18392,133,12.33,83.8,28.4,30.4,36.4,0
8.7,111766,120,12.9,88.8,34.3,33.1,38.5,0
9.2,147981,34,12.84,85.9,34.4,30.6,88.6,0
7.0,101045,120,12.07,99.6,17.9,31.2,56.4,0
9.4,142669,198,11.76,83.2,20.8,30.3,2.0,1
6.2,84434,101,12.26,96.8,77.0,27.9,50.2,0
6.5,102565,37,11.99,96.8,30.1,33.0,83.4,0
5.4,76112,190,12.32,102.9,84.8,34.4,28.9,1
0.8,23223,40,12.91,88.3,58.6,34.1,59.0,0
1.7,30733,66,12.14,95.6,63.3,35.1,73.8,0
0.9,21753,56,12.33,105.8,51.4,33.5,70.9,0
7.8,109670,65,12.38,87.0,40.8,30.8,73.2,0
4.1,59131,188,12.73,81.0,31.5,35.2,2.0,1
6.3,89922,104,11.34,78.8,95.9,28.2,47.5,1
10.9,172932,60,12.08,95.6,82.3,29.6,77.1,1
3.4,48826,248,12.45,78.8,11.0,29.4,31.1,0
5.2,81469,274,12.89,88.6,69.1,36.0,8.1,1
9.2,183661,245,12.13,93.8,5.0,35.5,2.0,1
3.1,59118,53,11.51,92.2,14.7,34.1,69.3,0
1.4,26363,78,12.63,93.8,39.4,35.9,56.5,0
3.8,73541,450,12.06,92.4,48.8,29.7,2.0,1
2.4,36040,191,11.81,99.3,82.0,33.6,2.0,1
11.2,108200,22,12.07,84.8,29.7,32.1,96.3,0
9.8,115388,47,12.27,86.6,62.6,35.2,63.8,0
7.8,78928,79,12.08,86.0,75.8,32.1,71.0,0
10.5,140105,287,11.36,96.4,5.0,31.3,4.9,1
9.7,141436,107,12.75,96.9,22.2,34.2,39.2,0
2.6,53057,86,12.92,93.9,27.6,35.3,55.6,0
10.8,164669,27,12.64,98.7,54.0,30.4,100.0,0
6.7,97727,142,11.84,83.3,22.2,32.3,36.3,0
9.8,162397,217,12.26,101.8,50.6,29.1,2.0,1
10.8,97132,77,12.35,100.9,17.0,24.5,59.1,0
4.2,64548,193,12.62,95.8,28.3,33.1,4.3,0
1.8,33107,398,12.65,102.6,52.1,34.4,2.0,1
3.1,35978,35,12.02,80.2,75.4,33.3,61.5,0
5.4,93824,108,12.39,87.6,7.0,26.3,66.4,0
9.9,153912,81,12.56,86.2,37.3,31.4,61.1,0
10.4,142127,201,13.01,95.7,5.0,25.4,4.0,1
0.6,15993,129,12.67,84.2,30.7,36.9,34.9,0
6.4,131119,132,12.71,95.9,94.6,29.0,26.6,1
5.3,81651,213,12.39,99.9,80.9,36.5,2.0,1
3.1,53561,93,12.98,95.5,21.2,35.5,37.5,0
1.9,30294,300,12.53,92.8,59.3,29.6,22.8,1
4.4,57878,128,11.96,84.6,42.7,28.9,23.7,0
11.3,184561,33,12.98,85.5,5.0,33.6,73.2,0
